[HUMEDAD] | Valor: 44.2
[TEMPERATURA] | Valor: 23.7
[HUMEDAD] | Valor: 93.0
[TEMPERATURA] | Valor: 25.7
[PRESION] | Valor: 1025.7
[TEMPERATURA] | Valor: 20.0
[PRESION] | Valor: 1026.3
[TEMPERATURA] | Valor: 15.1
[HUMEDAD] | Valor: 61.2
[TEMPERATURA] | Valor: 32.8
[PRESION] | Valor: 1005.1
[TEMPERATURA] | Valor: 27.8
[HUMEDAD] | Valor: 13.5
[PRESION] | Valor: 1027.6
[TEMPERATURA] | Valor: 35.8
[TEMPERATURA] | Valor: 32.5
[PRESION] | Valor: 971.8
[HUMEDAD] | Valor: 59.9
[TEMPERATURA] | Valor: 37.1
[PRESION] | Valor: 1023.0
[TEMPERATURA] | Valor: 25.0
[TEMPERATURA] | Valor: 28.6
[HUMEDAD] | Valor: 16.1
[PRESION] | Valor: 967.7
[TEMPERATURA] | Valor: 34.6
[TEMPERATURA] | Valor: 38.9
[PRESION] | Valor: 977.1
[HUMEDAD] | Valor: 66.8
[TEMPERATURA] | Valor: 13.2
[PRESION] | Valor: 1020.3
[TEMPERATURA] | Valor: 30.8
[HUMEDAD] | Valor: 24.6
[TEMPERATURA] | Valor: 25.4
[PRESION] | Valor: 964.5
[TEMPERATURA] | Valor: 30.7
[PRESION] | Valor: 1025.0
[TEMPERATURA] | Valor: 26.4
[HUMEDAD] | Valor: 99.0
[TEMPERATURA] | Valor: 11.5
[PRESION] | Valor: 1015.7
[TEMPERATURA] | Valor: 13.4
[HUMEDAD] | Valor: 53.9
[TEMPERATURA] | Valor: 11.8
[PRESION] | Valor: 964.2
[TEMPERATURA] | Valor: 27.2
[PRESION] | Valor: 1043.3
[TEMPERATURA] | Valor: 19.9
[HUMEDAD] | Valor: 2.3
[TEMPERATURA] | Valor: 13.9
[PRESION] | Valor: 1046.2
[TEMPERATURA] | Valor: 19.0
[HUMEDAD] | Valor: 94.4
[PRESION] | Valor: 1023.4
[TEMPERATURA] | Valor: 26.4
[TEMPERATURA] | Valor: 30.4
[PRESION] | Valor: 980.0
[HUMEDAD] | Valor: 47.8
[TEMPERATURA] | Valor: 22.0
[TEMPERATURA] | Valor: 17.2
[PRESION] | Valor: 1041.2
[TEMPERATURA] | Valor: 21.6
[HUMEDAD] | Valor: 95.9
[PRESION] | Valor: 1042.2
[TEMPERATURA] | Valor: 18.0
[TEMPERATURA] | Valor: 29.5
[PRESION] | Valor: 963.8
[HUMEDAD] | Valor: 53.7
[TEMPERATURA] | Valor: 24.3
[PRESION] | Valor: 1015.1
[TEMPERATURA] | Valor: 21.7
[HUMEDAD] | Valor: 13.6
[TEMPERATURA] | Valor: 17.0
[PRESION] | Valor: 1030.8
[TEMPERATURA] | Valor: 35.9
[TEMPERATURA] | Valor: 14.6
[PRESION] | Valor: 988.2
[HUMEDAD] | Valor: 10.3
[TEMPERATURA] | Valor: 39.6
[PRESION] | Valor: 1001.0
[TEMPERATURA] | Valor: 36.8
[HUMEDAD] | Valor: 73.1
[TEMPERATURA] | Valor: 18.9
[PRESION] | Valor: 1042.9
[TEMPERATURA] | Valor: 25.6
[PRESION] | Valor: 974.1
[TEMPERATURA] | Valor: 37.2
[HUMEDAD] | Valor: 78.3
[TEMPERATURA] | Valor: 13.0
[PRESION] | Valor: 1033.1
[TEMPERATURA] | Valor: 25.3
[HUMEDAD] | Valor: 20.1
[TEMPERATURA] | Valor: 28.7
[PRESION] | Valor: 1000.8
[TEMPERATURA] | Valor: 20.6
[PRESION] | Valor: 962.5
[HUMEDAD] | Valor: 97.2
[TEMPERATURA] | Valor: 39.9
[TEMPERATURA] | Valor: 24.1
[PRESION] | Valor: 1023.3
[TEMPERATURA] | Valor: 29.2
[HUMEDAD] | Valor: 93.4
[PRESION] | Valor: 1003.0
[TEMPERATURA] | Valor: 15.4
[TEMPERATURA] | Valor: 15.8
[PRESION] | Valor: 970.3
[HUMEDAD] | Valor: 39.3
[TEMPERATURA] | Valor: 35.2
[PRESION] | Valor: 993.0
[TEMPERATURA] | Valor: 38.9
[TEMPERATURA] | Valor: 37.8
[HUMEDAD] | Valor: 55.3
[PRESION] | Valor: 961.1
[TEMPERATURA] | Valor: 14.8
[TEMPERATURA] | Valor: 18.8
[PRESION] | Valor: 995.5
[HUMEDAD] | Valor: 66.1
[TEMPERATURA] | Valor: 17.6
[PRESION] | Valor: 1036.3
[TEMPERATURA] | Valor: 32.4
[HUMEDAD] | Valor: 47.7
[TEMPERATURA] | Valor: 23.1
[PRESION] | Valor: 1037.7
[TEMPERATURA] | Valor: 34.2
[PRESION] | Valor: 983.6
[TEMPERATURA] | Valor: 33.3
[HUMEDAD] | Valor: 43.2
[TEMPERATURA] | Valor: 22.7
[PRESION] | Valor: 1011.6
[TEMPERATURA] | Valor: 18.5
[HUMEDAD] | Valor: 71.6
[TEMPERATURA] | Valor: 18.7
[PRESION] | Valor: 974.1
[TEMPERATURA] | Valor: 33.3
[PRESION] | Valor: 1022.5
[HUMEDAD] | Valor: 13.8
[TEMPERATURA] | Valor: 21.4
[TEMPERATURA] | Valor: 27.7
[PRESION] | Valor: 973.3
[TEMPERATURA] | Valor: 20.4
[HUMEDAD] | Valor: 39.9
[PRESION] | Valor: 979.5
[TEMPERATURA] | Valor: 34.0
[TEMPERATURA] | Valor: 26.2
[PRESION] | Valor: 1048.9
[HUMEDAD] | Valor: 78.3
[TEMPERATURA] | Valor: 17.0
[TEMPERATURA] | Valor: 29.9
[PRESION] | Valor: 974.4
[TEMPERATURA] | Valor: 30.9
[HUMEDAD] | Valor: 22.7
[PRESION] | Valor: 983.2
[TEMPERATURA] | Valor: 26.7
[TEMPERATURA] | Valor: 31.4
[PRESION] | Valor: 1020.5
[HUMEDAD] | Valor: 89.3
[TEMPERATURA] | Valor: 23.3
